study_hours_per_day,attendance_percentage,previous_exam_score,assignments_completed,sleep_hours,participation_in_class,internet_usage_time,extra_study_activities,stress_level,final_score
4.9,90.8,83.2,60.5,8.9,medium,4.2,1,high,99.0
5.9,89.6,71.9,79.8,7.0,medium,5.9,0,high,99.0
5.1,81.4,55.8,63.8,7.2,high,3.2,0,medium,99.0
5.5,89.7,63.2,74.1,8.3,medium,6.1,1,low,99.0
3.6,77.6,68.1,93.9,6.9,low,4.1,1,medium,99.0
4.4,81.4,74.3,83.8,7.3,low,4.1,0,medium,99.0
5.0,93.7,64.8,57.8,8.1,low,7.7,0,high,99.0
6.0,92.7,58.8,92.8,5.5,medium,6.4,1,medium,99.0
4.1,74.2,55.6,79.9,6.8,high,6.4,1,low,99.0
5.5,75.4,49.5,71.9,8.0,medium,2.0,1,medium,99.0
4.3,85.1,67.9,91.2,7.2,low,7.3,0,low,99.0
4.5,100.0,51.9,77.5,8.7,medium,3.3,1,medium,99.0
6.0,64.8,58.0,62.5,5.4,medium,3.0,1,medium,99.0
1.5,86.8,65.9,100.0,5.2,medium,0.0,0,low,99.0
2.6,70.2,53.6,79.7,7.9,high,4.0,1,medium,99.0
2.3,77.7,75.9,78.8,8.1,medium,1.4,1,high,96.4
1.0,80.4,80.6,73.9,6.9,medium,4.1,1,high,79.6
3.6,79.8,63.9,97.7,7.5,high,1.3,1,medium,99.0
5.9,78.7,65.3,72.1,7.9,medium,6.6,1,medium,99.0
4.2,84.1,78.0,56.8,6.2,high,4.4,1,high,99.0
5.0,78.6,61.7,69.8,6.3,high,7.5,1,high,99.0
6.4,69.4,60.8,99.9,7.3,medium,1.6,1,high,99.0
6.8,91.8,86.6,92.5,8.1,medium,6.2,0,low,99.0
4.6,91.5,82.5,76.2,5.8,high,0.2,0,low,99.0
6.9,92.4,78.8,100.0,6.9,medium,3.8,1,low,99.0
4.8,68.6,83.0,91.2,6.8,medium,2.3,0,high,99.0
3.4,87.0,45.3,76.0,7.6,medium,2.6,1,medium,96.7
3.7,90.8,88.6,77.5,7.1,high,2.5,0,low,99.0
2.3,73.7,76.1,84.9,6.5,medium,1.8,0,high,84.8
3.3,84.1,84.1,67.5,8.5,low,1.1,0,high,99.0
4.1,82.8,76.0,80.1,6.5,medium,2.6,0,medium,99.0
6.0,100.0,71.6,84.6,6.8,medium,3.6,1,medium,99.0
7.5,100.0,67.4,54.7,5.3,medium,5.5,1,medium,99.0
2.5,67.4,75.8,77.2,6.3,medium,3.9,1,low,93.7
5.3,100.0,66.9,75.5,7.7,medium,5.5,1,medium,99.0
3.0,74.8,82.3,95.4,7.5,medium,0.7,0,medium,99.0
5.5,93.8,50.4,52.3,7.8,low,2.6,1,high,99.0
4.5,93.7,64.0,74.3,7.7,medium,4.7,1,high,99.0
1.8,74.0,97.6,72.8,9.4,medium,4.0,0,high,86.2
6.2,88.9,62.9,94.4,6.3,high,1.8,0,high,99.0
3.7,82.9,67.9,79.3,5.3,medium,5.1,0,low,97.1
3.8,89.5,59.5,100.0,5.9,medium,2.4,1,medium,99.0
3.0,86.3,75.4,89.9,6.3,medium,2.0,0,high,97.2
3.7,96.0,61.4,73.8,6.0,low,4.3,1,medium,99.0
5.4,84.8,68.6,83.6,7.2,low,3.4,0,high,99.0
4.4,82.3,82.0,74.7,8.5,high,2.5,1,medium,99.0
5.2,95.0,61.9,92.9,8.8,low,2.4,1,low,99.0
5.3,89.8,81.3,60.0,7.7,low,1.5,0,medium,99.0
6.8,91.3,81.7,67.6,9.5,high,2.7,1,medium,99.0
4.2,77.4,84.7,86.8,6.7,medium,5.4,1,medium,99.0
2.3,73.5,72.8,98.4,5.3,medium,3.8,1,medium,88.7
6.4,78.3,99.0,47.0,8.3,medium,5.1,0,medium,99.0
4.2,77.8,84.7,100.0,5.1,high,4.3,0,high,99.0
6.5,91.9,75.2,77.9,6.3,low,2.3,1,medium,99.0
5.3,93.8,59.6,51.7,7.7,medium,0.4,0,medium,99.0
4.5,82.4,69.7,35.0,7.0,high,1.7,1,medium,99.0
5.3,98.3,89.5,57.1,6.9,high,2.2,0,medium,99.0
7.8,97.7,93.2,79.7,5.8,high,2.1,1,low,99.0
8.0,86.4,90.2,79.0,7.1,medium,5.2,1,medium,99.0
4.8,75.8,81.2,89.5,8.2,high,5.1,1,low,99.0
5.0,99.8,54.7,71.8,7.1,medium,7.4,0,high,99.0
6.4,83.4,77.3,63.4,6.2,high,2.0,1,high,99.0
3.3,85.3,54.9,73.8,5.7,high,6.3,1,medium,99.0
5.2,80.6,51.7,80.5,6.2,low,6.3,0,high,91.0
4.7,75.1,74.1,83.5,7.5,medium,3.0,1,medium,99.0
5.2,69.3,77.8,68.2,7.5,medium,4.3,1,low,99.0
3.4,90.3,82.7,93.5,6.2,high,5.6,1,high,99.0
2.2,76.2,77.5,70.7,4.7,low,3.3,1,high,66.7
1.4,100.0,77.9,67.0,7.6,high,3.2,1,low,99.0
2.9,73.1,58.2,71.9,6.1,medium,2.3,1,medium,85.4
4.0,71.4,69.6,96.1,7.9,medium,0.0,1,medium,99.0
4.2,89.1,51.4,78.0,6.3,medium,3.5,1,medium,99.0
7.8,99.3,45.0,69.6,6.0,high,2.1,0,medium,99.0
6.5,84.6,80.6,93.9,7.3,low,1.5,1,medium,99.0
3.2,89.7,61.2,100.0,9.7,medium,4.2,0,high,96.9
5.3,65.6,82.3,83.1,7.9,low,0.8,1,low,99.0
4.0,77.2,85.4,98.5,7.2,high,4.9,1,medium,99.0
4.2,73.3,62.9,95.5,7.5,high,4.3,1,high,99.0
5.0,65.0,78.7,70.9,5.2,medium,2.7,1,medium,99.0
5.7,85.2,62.4,80.4,5.9,medium,3.3,0,medium,99.0
4.2,61.6,47.0,60.8,4.3,medium,1.3,1,low,95.0
6.4,70.8,72.6,76.9,9.0,medium,4.8,0,medium,99.0
2.9,78.6,64.9,70.6,8.8,high,3.7,0,medium,99.0
4.7,75.7,65.3,74.0,7.5,medium,3.9,1,medium,99.0
8.9,88.0,96.7,68.8,7.2,medium,4.3,0,high,99.0
5.1,87.1,51.2,75.7,5.4,high,2.2,1,medium,99.0
7.0,92.9,76.0,88.0,6.9,medium,0.7,1,high,99.0
4.8,91.5,58.1,78.2,9.1,low,5.1,1,high,99.0
5.6,95.4,82.8,52.0,7.2,low,4.6,0,medium,99.0
4.6,84.0,74.9,68.8,6.5,medium,2.4,0,low,99.0
4.4,87.0,75.9,57.2,5.2,medium,4.1,0,high,99.0
3.5,89.1,58.7,83.7,8.6,low,5.7,0,medium,94.3
5.4,85.4,61.0,87.5,7.0,medium,5.4,1,medium,99.0
3.3,80.0,83.1,83.8,5.2,medium,2.4,0,low,99.0
5.8,80.7,94.0,68.2,6.1,medium,0.7,0,medium,99.0
6.4,75.8,77.2,83.7,5.7,low,1.0,0,medium,99.0
5.3,88.2,59.3,72.9,7.0,medium,2.8,1,low,99.0
4.2,83.1,75.4,62.9,7.3,low,6.0,0,medium,99.0
5.4,77.4,99.0,91.1,6.5,medium,2.1,1,high,99.0
4.2,77.4,72.3,92.3,8.0,low,2.3,0,medium,99.0
6.2,71.9,90.0,94.2,7.2,medium,2.3,0,high,99.0
1.8,93.8,61.4,70.9,8.3,high,2.4,0,medium,95.6
4.2,84.8,70.5,97.7,6.7,low,3.4,1,medium,99.0
1.5,75.4,79.1,72.6,10.0,high,1.1,1,medium,85.6
2.3,92.1,76.2,89.8,6.5,medium,5.4,0,low,99.0
6.9,78.4,61.0,72.3,6.1,medium,3.1,0,medium,99.0
6.1,69.9,60.5,76.6,6.0,medium,7.9,0,high,99.0
3.5,94.2,83.8,43.7,6.9,medium,1.3,0,low,99.0
2.3,78.6,86.5,75.5,5.2,high,6.3,1,high,91.8
0.5,79.9,90.7,81.4,7.4,high,5.9,0,low,95.2
3.8,84.4,94.5,73.8,5.0,high,2.7,1,medium,99.0
8.6,95.4,72.8,100.0,7.3,medium,2.7,1,medium,99.0
5.4,84.2,67.0,62.6,5.6,medium,1.7,1,high,99.0
3.8,72.0,88.6,71.5,6.7,low,1.8,1,low,99.0
5.4,89.4,80.3,66.4,7.8,medium,3.4,1,low,99.0
2.2,79.2,58.2,71.5,9.6,low,3.4,0,medium,76.5
4.2,100.0,57.6,95.5,5.9,low,0.5,1,medium,99.0
4.9,84.0,77.4,100.0,6.9,medium,7.5,0,medium,99.0
4.6,61.6,68.7,69.5,6.3,high,2.9,1,high,99.0
6.0,87.6,70.7,69.2,6.1,low,3.5,0,low,99.0
5.3,100.0,84.9,62.6,6.3,medium,2.3,1,high,99.0
5.8,99.8,80.9,99.6,8.0,medium,2.9,0,low,99.0
3.6,100.0,88.3,96.8,6.6,high,2.8,0,high,99.0
6.1,73.8,45.9,78.4,9.6,medium,3.4,1,high,99.0
7.3,93.1,74.3,59.1,7.6,low,3.4,1,medium,99.0
3.1,76.8,80.0,60.4,6.0,low,4.8,1,high,91.1
3.3,86.2,51.2,82.6,6.7,medium,3.8,1,high,94.7
6.8,71.3,62.5,88.2,6.2,medium,4.7,1,low,99.0
4.4,77.6,60.1,49.0,8.0,high,3.4,1,low,99.0
6.9,77.2,71.3,75.2,5.3,high,3.8,0,low,99.0
4.0,93.0,92.2,100.0,5.6,high,3.0,1,medium,99.0
7.0,92.0,97.3,76.7,6.4,medium,5.2,1,medium,99.0
4.9,86.8,60.4,100.0,7.9,high,4.0,1,medium,99.0
5.1,70.5,77.8,89.7,8.5,medium,3.1,1,medium,99.0
7.2,80.9,78.3,63.7,8.6,low,3.1,1,medium,99.0
4.1,76.5,76.0,75.6,7.7,medium,3.2,0,low,99.0
3.2,92.7,76.2,78.1,7.0,medium,3.5,0,medium,99.0
4.0,95.8,74.9,65.7,8.0,medium,3.3,1,high,99.0
5.4,94.6,92.9,65.5,5.8,high,2.4,1,medium,99.0
2.2,76.4,85.3,100.0,5.1,high,4.8,1,medium,99.0
5.7,56.6,57.2,65.3,7.6,medium,4.9,0,low,99.0
3.8,66.3,81.3,96.2,6.0,medium,6.6,1,high,99.0
6.5,98.2,82.6,73.5,7.0,low,2.3,0,medium,99.0
0.9,80.0,75.1,79.6,7.2,medium,4.6,0,medium,84.5
3.4,76.5,85.7,88.4,7.4,low,0.0,0,low,99.0
2.0,100.0,73.4,71.0,8.1,medium,4.9,1,low,99.0
3.4,96.7,73.6,88.5,8.0,medium,0.8,0,high,99.0
5.1,84.2,72.6,49.3,7.3,high,1.6,1,medium,99.0
4.4,81.1,44.8,86.6,6.6,high,4.0,1,medium,99.0
4.3,82.7,70.0,43.0,7.2,low,2.3,0,medium,99.0
4.4,86.3,62.3,76.6,6.4,high,2.0,0,high,99.0
5.0,100.0,55.6,92.8,6.9,low,2.5,1,medium,99.0
3.1,88.2,89.6,89.3,10.0,medium,4.7,1,high,94.8
5.8,91.3,77.6,60.5,7.3,medium,1.7,1,low,99.0
5.8,95.7,70.6,62.5,7.6,low,3.3,0,medium,99.0
5.3,72.3,63.7,69.7,6.3,low,2.7,1,medium,99.0
5.6,91.5,74.9,82.8,8.2,medium,4.9,1,high,99.0
5.2,81.1,83.9,49.5,7.9,low,4.9,1,high,99.0
8.0,58.8,60.2,79.8,7.9,high,0.1,0,medium,99.0
4.6,62.7,70.9,84.7,7.3,medium,5.3,1,low,99.0
4.2,73.8,82.3,75.8,8.2,medium,2.3,1,low,99.0
3.5,89.3,45.8,87.9,8.5,high,3.8,0,low,97.8
3.0,85.1,70.3,83.4,7.4,medium,1.7,1,high,99.0
2.7,85.8,65.4,71.9,7.0,medium,4.1,0,medium,96.9
3.3,100.0,69.3,51.0,8.1,high,8.0,0,low,99.0
4.6,71.3,64.5,82.0,6.1,medium,3.6,1,medium,99.0
5.2,83.7,72.8,65.7,6.3,low,2.6,0,low,99.0
4.8,87.0,96.0,71.3,7.0,medium,3.0,0,high,99.0
3.5,76.6,66.8,87.2,5.2,medium,0.8,1,medium,99.0
6.1,84.3,74.8,100.0,8.0,high,6.0,1,high,99.0
5.9,68.0,96.9,79.4,6.0,low,4.0,0,medium,99.0
4.4,98.1,63.8,88.3,6.6,medium,1.5,1,medium,99.0
3.7,77.2,94.6,58.3,6.9,high,1.6,1,medium,99.0
5.6,100.0,71.1,83.7,7.1,high,3.4,1,medium,99.0
5.0,83.7,94.2,79.1,6.7,low,5.1,0,medium,99.0
2.4,94.3,80.8,98.4,7.0,medium,1.3,0,low,99.0
4.6,83.5,75.0,71.9,7.0,high,5.4,0,high,99.0
5.1,83.7,70.1,76.4,6.6,medium,3.2,1,medium,99.0
3.3,78.2,62.9,95.9,6.2,low,1.7,0,medium,95.0
5.0,85.2,72.0,78.6,8.3,low,2.6,1,medium,99.0
2.4,87.2,82.7,63.4,4.8,high,6.5,0,medium,86.9
6.8,76.2,70.8,100.0,6.9,medium,0.9,0,medium,99.0
6.7,82.7,66.9,63.8,6.6,medium,2.1,1,medium,99.0
4.3,77.9,67.7,79.0,7.6,high,5.1,0,low,99.0
5.3,100.0,83.9,85.2,5.5,medium,3.8,1,medium,99.0
0.8,83.1,86.9,84.0,6.6,low,2.0,1,low,89.5
2.8,99.5,62.3,77.2,7.0,medium,5.1,0,high,94.8
4.2,82.0,62.3,77.2,8.3,high,5.2,1,medium,99.0
3.0,86.6,75.9,76.5,7.5,medium,4.0,0,high,94.8
5.8,70.8,90.9,63.3,5.8,medium,2.3,1,medium,99.0
7.9,79.5,85.9,100.0,6.6,low,2.6,1,high,99.0
2.8,86.1,54.7,76.7,8.1,low,3.9,0,high,80.2
3.4,99.9,67.6,89.0,5.8,high,1.0,1,medium,99.0
5.1,86.2,58.9,75.0,7.0,low,5.8,0,medium,99.0
7.3,97.8,67.5,74.7,7.1,low,6.5,0,low,99.0
2.7,90.4,91.9,73.2,6.7,high,3.0,1,low,99.0
5.1,100.0,52.5,56.8,10.0,medium,4.0,1,medium,99.0
7.6,83.4,50.0,77.6,6.6,medium,5.5,1,medium,99.0
2.1,100.0,60.2,73.9,7.6,high,6.9,0,high,93.2
2.7,79.1,74.7,97.6,6.3,low,6.2,1,medium,91.6
4.0,76.3,79.1,62.0,7.7,medium,0.3,0,high,99.0
3.9,71.9,76.7,71.3,8.1,medium,2.8,0,medium,99.0
6.0,100.0,86.3,66.5,6.5,low,4.3,1,low,99.0
5.1,92.2,48.1,100.0,7.0,medium,2.5,0,low,99.0
1.9,80.7,86.4,67.0,6.1,medium,6.6,1,medium,97.7
5.5,96.5,66.9,88.4,5.8,high,6.3,1,medium,99.0
3.8,90.9,80.5,94.6,8.2,high,1.9,1,medium,99.0
6.7,100.0,53.8,77.8,6.5,high,3.1,0,low,99.0
3.7,68.5,71.1,59.3,4.4,medium,2.1,1,medium,99.0
3.7,81.3,74.1,59.5,9.0,medium,3.0,0,high,94.9
5.6,79.4,86.0,92.9,6.2,high,3.0,1,low,99.0
5.9,64.3,50.4,61.1,6.8,medium,5.1,0,high,99.0
5.4,94.6,71.4,85.9,8.9,high,1.8,0,medium,99.0
2.0,81.3,56.9,81.7,6.9,high,0.0,0,medium,94.8
5.6,91.4,77.6,85.7,6.9,medium,0.5,1,low,99.0
3.0,100.0,81.1,87.1,5.7,low,1.5,1,high,99.0
5.1,80.5,87.7,66.0,5.3,medium,2.2,1,medium,99.0
2.4,79.8,64.0,65.4,6.9,medium,3.7,1,medium,86.3
5.4,85.2,83.1,90.7,7.5,medium,1.5,0,high,99.0
3.4,93.9,88.7,70.6,7.4,medium,1.2,1,high,99.0
2.6,78.3,49.6,38.7,6.6,high,1.7,1,high,91.0
5.8,77.7,79.0,89.7,7.1,medium,1.4,0,high,99.0
5.1,94.6,83.5,64.5,5.1,medium,2.4,1,low,99.0
3.7,87.8,67.6,87.0,7.6,high,2.3,0,high,99.0
7.0,63.6,55.3,100.0,7.3,high,4.6,1,medium,99.0
4.0,71.7,83.3,80.3,9.3,high,1.6,1,high,99.0
4.8,99.0,55.4,94.9,7.1,low,2.8,0,medium,99.0
5.1,88.0,68.7,82.3,6.1,high,2.4,1,low,99.0
3.7,76.4,70.5,100.0,7.0,high,4.9,0,medium,99.0
5.5,82.3,80.3,64.1,6.7,high,3.1,1,high,99.0
3.8,84.1,62.9,79.9,7.6,medium,5.3,1,medium,99.0
4.0,91.4,62.1,90.1,7.1,low,1.3,1,high,99.0
6.9,70.4,72.3,77.1,5.7,medium,3.3,1,low,99.0
3.0,75.6,84.1,97.3,5.3,medium,2.4,0,low,99.0
0.8,86.7,99.0,73.5,7.4,medium,1.2,1,medium,90.2
7.3,83.0,51.4,100.0,8.6,high,3.3,1,medium,99.0
8.8,89.7,75.1,100.0,7.2,low,6.5,0,medium,99.0
4.1,71.7,56.9,84.2,8.0,high,1.9,1,high,99.0
1.6,87.6,84.2,88.3,8.2,medium,3.2,0,medium,90.9
4.2,94.9,58.8,97.9,7.4,high,1.0,1,medium,99.0
4.2,88.9,62.2,62.2,6.2,medium,0.8,0,medium,99.0
4.4,85.4,63.3,60.3,7.3,medium,2.0,1,high,99.0
2.9,83.0,70.0,98.8,8.4,medium,2.6,0,medium,95.8
5.6,75.7,75.2,84.1,7.7,high,2.7,1,high,99.0
5.5,83.3,77.3,76.6,7.9,low,3.0,1,medium,99.0
2.3,96.6,70.9,80.2,6.6,medium,0.4,1,high,97.7
5.8,82.8,53.7,44.2,6.9,high,2.3,1,low,99.0
8.0,75.1,80.5,77.1,7.0,low,4.3,0,high,99.0
5.0,79.1,70.3,68.7,7.0,medium,1.0,1,high,99.0
4.2,86.0,86.1,93.8,8.4,low,2.8,0,high,99.0
4.5,80.3,61.8,94.9,4.5,low,3.9,1,low,99.0
5.7,88.9,50.2,88.7,7.1,medium,2.0,1,high,99.0
1.9,89.2,70.6,85.9,7.0,medium,4.0,1,low,99.0
5.0,92.9,87.8,57.5,5.6,medium,0.7,1,medium,99.0
4.1,98.2,73.1,88.9,7.8,medium,5.0,0,medium,99.0
7.7,94.0,68.4,89.4,6.3,high,4.1,1,medium,99.0
4.4,74.7,59.7,98.7,6.7,high,3.5,0,medium,99.0
7.4,75.0,93.9,100.0,9.1,medium,5.4,1,medium,99.0
2.9,83.2,57.6,54.6,8.2,medium,2.8,1,medium,99.0
5.6,79.5,61.6,74.2,7.7,medium,2.3,1,medium,99.0
5.2,72.6,78.4,68.9,7.5,high,5.9,0,medium,99.0
3.3,79.6,46.9,82.6,6.9,medium,6.7,1,high,79.1
5.0,79.3,87.6,80.2,9.3,medium,2.2,0,medium,99.0
6.6,77.3,79.1,76.5,8.0,medium,3.2,1,low,99.0
4.2,80.8,82.7,95.4,6.3,medium,5.3,1,medium,99.0
2.0,95.8,78.3,63.5,5.6,high,3.3,0,high,99.0
4.7,86.0,68.9,64.4,7.7,medium,4.5,0,medium,99.0
3.3,100.0,57.2,64.6,7.0,medium,4.8,0,low,99.0
4.2,85.7,69.2,74.6,5.5,medium,2.4,1,high,99.0
4.6,81.1,58.3,61.6,7.6,medium,4.2,0,high,99.0
2.0,84.0,77.3,79.3,6.8,medium,3.4,1,medium,95.2
2.1,86.6,81.5,77.5,7.7,high,1.2,0,high,99.0
5.5,88.4,90.2,68.2,7.6,medium,1.6,1,high,99.0
3.9,100.0,75.8,93.1,6.4,low,2.2,0,medium,99.0
0.6,75.5,83.0,79.1,7.8,medium,5.1,1,medium,81.6
6.0,92.6,67.1,95.9,6.6,medium,5.1,0,medium,99.0
5.1,86.1,64.8,77.1,6.6,high,4.7,0,high,99.0
3.6,68.3,77.2,79.6,6.5,medium,4.2,0,medium,99.0
2.6,91.7,66.0,71.6,8.3,medium,4.1,1,low,99.0
6.0,96.7,74.5,79.9,6.8,medium,3.9,1,high,99.0
5.3,75.4,57.2,90.7,8.6,high,4.1,0,high,99.0
8.5,83.9,59.5,73.8,9.1,high,4.3,0,medium,99.0
5.4,66.7,79.3,87.8,6.3,low,0.9,0,high,99.0
5.3,71.4,82.5,67.8,4.0,medium,2.0,1,high,99.0
4.4,94.5,58.2,91.4,8.2,high,1.5,1,high,99.0
6.0,79.3,79.7,71.3,6.7,high,5.4,1,high,99.0
5.7,72.9,64.1,92.8,6.1,medium,6.4,0,low,99.0
6.7,86.3,71.2,80.9,6.5,high,0.0,1,high,99.0
3.9,78.8,89.4,100.0,6.6,medium,6.2,1,medium,99.0
4.0,79.3,81.5,62.7,8.5,medium,3.6,0,high,96.7
3.9,91.4,81.3,57.9,7.3,low,5.2,1,high,99.0
6.0,72.4,95.8,70.8,8.5,medium,4.3,0,high,99.0
7.1,74.9,61.8,59.2,7.6,low,6.0,1,high,99.0
4.0,85.5,58.2,59.3,6.8,medium,3.8,1,high,99.0
4.0,93.7,61.6,89.3,6.7,high,0.9,1,medium,99.0
5.2,96.4,67.7,79.9,7.7,high,3.2,1,medium,99.0
4.3,77.3,40.4,72.8,8.0,low,4.3,0,low,96.9
6.2,93.4,68.3,74.2,8.2,low,3.0,1,high,99.0
1.1,76.2,63.9,71.0,6.8,medium,4.6,1,medium,78.6
3.4,100.0,81.2,100.0,7.3,medium,3.3,1,medium,99.0
3.4,72.7,75.6,69.0,7.7,low,2.3,0,medium,84.9
1.0,97.3,63.2,60.2,6.7,high,1.4,0,medium,81.9
3.2,77.4,78.7,91.9,5.9,medium,2.7,1,medium,99.0
3.2,100.0,80.4,76.8,6.2,low,3.8,1,high,98.5
4.4,89.9,61.0,100.0,6.8,high,0.0,1,high,99.0
6.5,73.8,64.6,72.1,7.8,medium,2.0,0,medium,99.0
4.3,78.8,42.1,92.7,8.5,medium,0.0,1,high,99.0
3.1,91.8,56.8,96.2,5.6,medium,2.3,1,low,99.0
4.6,94.5,61.3,72.2,6.4,high,5.6,0,low,99.0
6.4,83.3,72.0,68.9,6.7,low,1.3,1,medium,99.0
3.1,84.4,58.7,91.1,8.0,medium,4.7,0,high,91.1
3.2,91.6,64.3,88.6,6.5,medium,8.5,1,low,99.0
5.6,85.3,55.1,58.8,6.6,medium,6.0,0,low,99.0
4.3,71.1,73.2,63.1,5.5,medium,3.6,1,medium,99.0
5.7,75.9,76.5,42.0,7.6,medium,4.9,1,low,99.0
4.7,86.4,76.2,88.9,6.9,low,0.9,1,medium,99.0
5.8,96.2,71.2,76.1,6.4,high,0.6,1,medium,99.0
3.0,100.0,51.0,77.6,6.8,medium,3.5,0,high,82.4
4.7,91.8,62.9,54.6,8.3,high,4.1,1,medium,99.0
4.4,86.9,65.7,63.5,6.0,medium,5.4,1,low,99.0
2.8,91.5,65.8,72.8,6.2,high,2.4,0,low,99.0
2.2,77.3,72.0,69.9,8.5,medium,3.7,1,low,92.6
5.8,82.5,89.5,81.8,7.2,medium,3.7,0,high,99.0
4.1,75.8,81.6,88.8,7.8,high,3.2,0,medium,99.0
3.1,71.5,58.2,100.0,7.5,high,3.3,1,low,99.0
4.5,87.3,79.8,79.7,7.1,medium,1.9,0,high,99.0
6.5,85.9,79.3,96.7,6.7,medium,3.9,0,high,99.0
1.1,90.9,60.5,67.6,8.0,medium,3.8,0,low,78.2
2.3,89.5,82.0,54.9,8.4,medium,2.6,1,medium,99.0
3.2,86.4,68.9,74.7,8.3,medium,4.6,1,high,94.9
7.0,89.6,52.7,56.0,5.8,high,5.3,0,medium,99.0
5.2,83.6,76.9,80.2,8.5,medium,4.6,0,high,99.0
5.9,88.1,73.8,68.3,6.7,medium,1.5,1,low,99.0
2.9,76.7,68.0,50.7,6.3,medium,3.6,1,high,86.5
2.9,87.7,70.5,100.0,6.9,high,1.8,0,low,99.0
5.4,90.7,61.7,71.9,8.0,medium,3.6,0,medium,99.0
4.8,77.3,78.9,55.4,7.7,medium,1.8,0,high,99.0
5.6,84.5,70.4,93.5,6.8,low,5.7,0,high,99.0
4.4,77.8,73.2,69.1,8.0,medium,4.8,1,low,99.0
5.1,78.7,75.6,96.4,7.3,medium,5.5,0,low,99.0
5.0,72.8,56.0,69.0,6.5,medium,5.3,1,high,99.0
5.9,96.7,59.4,71.9,6.3,medium,2.9,1,low,99.0
6.0,94.7,42.3,85.2,7.6,high,2.6,1,medium,99.0
2.1,89.4,78.3,88.9,7.0,medium,6.5,0,low,99.0
1.1,100.0,55.2,91.5,5.6,medium,3.1,1,low,84.5
6.3,82.1,72.7,78.7,8.0,low,1.0,1,high,99.0
6.6,100.0,75.8,87.9,6.6,low,5.2,1,low,99.0
3.1,81.7,78.8,91.2,8.9,low,3.7,1,medium,99.0
1.7,86.6,55.3,83.0,5.6,medium,6.1,1,medium,84.9
4.9,80.0,70.2,77.9,6.9,medium,3.8,1,low,99.0
6.2,87.7,92.7,58.3,6.3,medium,3.4,1,medium,99.0
7.6,92.4,93.3,89.0,6.0,medium,6.1,1,medium,99.0
5.5,82.9,83.8,80.6,6.6,low,0.6,0,high,99.0
4.1,100.0,75.4,73.8,9.0,medium,2.3,0,high,99.0
3.3,86.4,57.9,99.2,7.3,low,1.8,0,high,99.0
4.7,86.7,80.3,58.6,6.2,low,0.0,1,medium,99.0
4.2,74.9,68.9,100.0,5.1,low,5.0,1,high,99.0
3.1,88.2,78.3,79.7,5.2,medium,2.4,1,medium,99.0
8.0,82.7,62.8,84.8,6.5,high,5.0,0,medium,99.0
7.6,77.9,68.8,74.1,6.4,medium,4.1,1,low,99.0
6.5,76.2,73.1,55.0,6.9,low,4.5,1,low,99.0
3.2,100.0,74.2,77.9,4.6,high,2.6,0,medium,99.0
6.1,81.4,77.4,85.0,7.0,high,2.0,0,medium,99.0
5.7,69.4,63.5,90.1,8.2,medium,3.6,1,high,99.0
5.4,77.0,53.5,77.0,8.9,low,5.1,0,high,99.0
6.7,83.5,92.1,47.1,5.0,high,3.3,1,low,99.0
5.7,89.5,99.0,56.9,6.2,high,2.1,1,high,99.0
5.9,89.5,76.8,100.0,6.2,high,1.2,1,high,99.0
5.7,90.8,53.8,63.6,7.3,medium,3.8,0,medium,99.0
5.2,77.6,60.9,100.0,5.8,medium,2.4,1,high,99.0
1.8,87.4,77.6,66.0,9.0,high,3.3,0,high,85.7
4.8,75.2,88.4,77.3,7.1,low,3.0,1,medium,99.0
3.8,77.8,55.2,89.4,7.0,low,2.6,0,low,99.0
2.7,74.8,69.4,67.7,8.9,high,3.9,0,medium,86.5
7.4,72.1,73.5,100.0,7.1,low,4.4,0,high,99.0
7.5,94.6,82.2,81.1,7.5,medium,6.9,0,low,99.0
6.9,90.9,66.5,86.9,6.3,medium,4.8,0,low,99.0
5.1,93.8,50.7,76.0,5.6,medium,6.3,0,medium,99.0
6.9,84.4,79.1,89.9,6.4,low,1.9,1,medium,99.0
4.7,91.8,85.6,100.0,9.5,medium,0.5,0,medium,99.0
5.0,66.4,69.9,78.0,7.8,medium,3.4,1,high,99.0
3.0,92.6,76.3,100.0,7.4,medium,4.9,1,medium,99.0
5.3,85.8,64.8,70.8,6.0,medium,4.7,1,high,99.0
4.8,90.3,60.0,91.5,8.1,high,5.6,1,medium,99.0
2.6,87.8,84.3,87.3,5.6,medium,0.0,0,medium,99.0
4.6,74.1,76.0,64.0,5.4,high,5.7,1,low,99.0
4.6,69.0,77.4,83.2,6.5,medium,4.0,1,medium,99.0
7.6,76.9,90.5,80.1,9.2,low,0.6,0,high,99.0
6.1,89.6,57.3,67.2,9.2,high,4.7,0,high,99.0
4.7,90.9,63.8,85.4,6.6,high,3.7,1,medium,99.0
5.1,70.3,73.1,82.2,6.4,low,4.1,0,high,99.0
4.8,74.2,63.7,78.9,5.3,medium,5.2,1,high,99.0
4.4,76.8,81.2,79.0,7.2,medium,4.2,1,low,99.0
3.0,80.4,68.6,78.6,7.3,low,0.7,0,medium,98.7
4.5,70.4,58.1,74.5,8.0,medium,3.1,0,high,99.0
3.5,69.8,71.9,82.1,8.1,medium,0.5,0,high,91.6
2.7,75.8,73.2,70.3,6.9,low,4.6,1,low,87.8
5.5,84.9,83.2,100.0,7.7,high,5.9,1,medium,99.0
